element_name,element,element_type,fixture,kickoff_time,was_home,team,opponent_team,minutes,total_points,running_team_points,running_team_points_home,running_team_points_away,running_opponent_team_points,running_opponent_team_points_home,running_opponent_team_points_away,total_points_difference,relative_points_difference
Cech,0,0,0,2018-08-12T15:00:00Z,True,0,12,90,3,0,0,0,0,0,0,0,0
Cech,0,0,13,2018-08-18T16:30:00Z,False,0,5,90,3,0,0,0,3,0,3,-3,0
Cech,0,0,20,2018-08-25T14:00:00Z,True,0,18,90,3,0,0,0,0,0,0,0,0
Cech,0,0,32,2018-09-02T12:30:00Z,False,0,4,90,1,3,3,0,2,1,1,1,-1
Cech,0,0,45,2018-09-15T14:00:00Z,False,0,14,90,2,6,3,3,1,0,1,5,3
Cech,0,0,50,2018-09-23T15:00:00Z,True,0,7,90,11,9,3,6,6,4,2,3,1
Cech,0,0,60,2018-09-29T14:00:00Z,True,0,17,45,1,12,6,6,13,9,4,-1,2
Cech,0,0,73,2018-10-07T11:00:00Z,False,0,8,0,0,15,9,6,5,4,1,10,2
Cech,0,0,80,2018-10-22T19:00:00Z,True,0,10,0,0,18,9,9,12,6,6,6,3
Cech,0,0,92,2018-10-28T13:30:00Z,False,0,6,0,0,21,12,9,7,1,6,14,8
Cech,0,0,100,2018-11-03T17:30:00Z,True,0,11,0,0,22,12,10,26,13,13,-4,-1
Cech,0,0,110,2018-11-11T16:30:00Z,True,0,19,0,0,23,13,10,15,8,7,8,6
Cech,0,0,120,2018-11-25T13:30:00Z,False,0,1,0,0,24,14,10,20,11,9,4,-1
Cech,0,0,130,2018-12-02T14:05:00Z,True,0,16,0,0,27,14,13,30,9,21,-3,-7
Cech,0,0,144,2018-12-05T20:00:00Z,False,0,13,0,0,30,17,13,22,11,11,8,2
Cech,0,0,150,2018-12-08T15:00:00Z,True,0,9,0,0,31,17,14,10,5,5,21,12
Cech,0,0,166,2018-12-16T13:30:00Z,False,0,15,0,0,34,20,14,9,5,4,25,9
Cech,0,0,170,2018-12-22T12:30:00Z,True,0,3,0,0,34,20,14,12,7,5,22,15
Cech,0,0,180,2018-12-26T17:15:00Z,False,0,2,0,0,37,23,14,21,14,7,16,0
Cech,0,0,195,2018-12-29T17:30:00Z,False,0,11,0,0,38,23,15,51,25,26,-13,-10
Cech,0,0,200,2019-01-01T15:00:00Z,True,0,8,0,0,38,23,15,14,12,2,24,21
Cech,0,0,219,2019-01-12T12:30:00Z,False,0,18,0,0,41,26,15,28,14,14,13,1
Cech,0,0,220,2019-01-19T17:30:00Z,True,0,5,0,0,41,26,15,47,25,22,-6,4
Cech,0,0,230,2019-01-29T19:45:00Z,True,0,4,0,0,44,29,15,19,14,5,25,24
Cech,0,0,247,2019-02-03T16:30:00Z,False,0,12,0,0,47,32,15,56,33,23,-9,-18
Cech,0,0,253,2019-02-09T15:00:00Z,False,0,9,0,0,47,32,15,11,5,6,36,10
Cech,0,0,260,2019-02-24T14:05:00Z,True,0,15,0,0,50,32,18,24,12,12,26,20
Cech,0,0,270,2019-02-27T19:45:00Z,True,0,1,0,0,53,35,18,34,25,9,19,26
Cech,0,0,286,2019-03-02T12:30:00Z,False,0,16,0,0,56,38,18,60,27,33,-4,-9
Cech,0,0,290,2019-03-10T16:30:00Z,True,0,13,0,0,57,38,19,58,29,29,-1,9
Cech,0,0,310,2019-04-01T19:00:00Z,True,0,14,0,0,60,41,19,35,22,13,25,28
Cech,0,0,322,2019-04-07T13:05:00Z,False,0,7,0,0,63,44,19,43,25,18,20,-6
Cech,0,0,339,2019-04-15T19:00:00Z,False,0,17,0,0,63,44,19,46,26,20,17,-7
Cech,0,0,340,2019-04-21T15:00:00Z,True,0,6,0,0,66,44,22,39,16,23,27,21
Cech,0,0,309,2019-04-24T18:45:00Z,False,0,19,0,0,66,44,22,48,28,20,18,-6
Cech,0,0,354,2019-04-28T11:00:00Z,False,0,10,0,0,66,44,22,48,23,25,18,-1
Cech,0,0,360,2019-05-05T15:30:00Z,True,0,2,0,0,66,44,22,35,23,12,31,32
Cech,0,0,371,2019-05-12T14:00:00Z,False,0,3,0,0,67,45,22,40,23,17,27,-1
Leno,1,0,0,2018-08-12T15:00:00Z,True,0,12,0,0,0,0,0,0,0,0,0,0
Leno,1,0,13,2018-08-18T16:30:00Z,False,0,5,0,0,0,0,0,3,0,3,-3,0
Leno,1,0,20,2018-08-25T14:00:00Z,True,0,18,0,0,0,0,0,0,0,0,0,0
Leno,1,0,32,2018-09-02T12:30:00Z,False,0,4,0,0,3,3,0,2,1,1,1,-1
Leno,1,0,45,2018-09-15T14:00:00Z,False,0,14,0,0,6,3,3,1,0,1,5,3
Leno,1,0,50,2018-09-23T15:00:00Z,True,0,7,0,0,9,3,6,6,4,2,3,1
Leno,1,0,60,2018-09-29T14:00:00Z,True,0,17,45,2,12,6,6,13,9,4,-1,2
Leno,1,0,73,2018-10-07T11:00:00Z,False,0,8,90,3,15,9,6,5,4,1,10,2
Leno,1,0,80,2018-10-22T19:00:00Z,True,0,10,90,2,18,9,9,12,6,6,6,3
Leno,1,0,92,2018-10-28T13:30:00Z,False,0,6,90,1,21,12,9,7,1,6,14,8
Leno,1,0,100,2018-11-03T17:30:00Z,True,0,11,90,3,22,12,10,26,13,13,-4,-1
Leno,1,0,110,2018-11-11T16:30:00Z,True,0,19,90,4,23,13,10,15,8,7,8,6
Leno,1,0,120,2018-11-25T13:30:00Z,False,0,1,90,3,24,14,10,20,11,9,4,-1
Leno,1,0,130,2018-12-02T14:05:00Z,True,0,16,90,2,27,14,13,30,9,21,-3,-7
Leno,1,0,144,2018-12-05T20:00:00Z,False,0,13,90,2,30,17,13,22,11,11,8,2
Leno,1,0,150,2018-12-08T15:00:00Z,True,0,9,90,7,31,17,14,10,5,5,21,12
Leno,1,0,166,2018-12-16T13:30:00Z,False,0,15,90,2,34,20,14,9,5,4,25,9
