element,round,kickoff_time,fixture,opponent_team,was_home,minutes,total_points
0,1,2018-08-12T15:00:00Z,0,12,True,90,3
0,2,2018-08-18T16:30:00Z,13,5,False,90,3
0,3,2018-08-25T14:00:00Z,20,18,True,90,3
0,4,2018-09-02T12:30:00Z,32,4,False,90,1
0,5,2018-09-15T14:00:00Z,45,14,False,90,2
0,6,2018-09-23T15:00:00Z,50,7,True,90,11
0,7,2018-09-29T14:00:00Z,60,17,True,45,1
0,8,2018-10-07T11:00:00Z,73,8,False,0,0
0,9,2018-10-22T19:00:00Z,80,10,True,0,0
0,10,2018-10-28T13:30:00Z,92,6,False,0,0
0,11,2018-11-03T17:30:00Z,100,11,True,0,0
0,12,2018-11-11T16:30:00Z,110,19,True,0,0
0,13,2018-11-25T13:30:00Z,120,1,False,0,0
0,14,2018-12-02T14:05:00Z,130,16,True,0,0
0,15,2018-12-05T20:00:00Z,144,13,False,0,0
0,16,2018-12-08T15:00:00Z,150,9,True,0,0
0,17,2018-12-16T13:30:00Z,166,15,False,0,0
0,18,2018-12-22T12:30:00Z,170,3,True,0,0
0,19,2018-12-26T17:15:00Z,180,2,False,0,0
0,20,2018-12-29T17:30:00Z,195,11,False,0,0
0,21,2019-01-01T15:00:00Z,200,8,True,0,0
0,22,2019-01-12T12:30:00Z,219,18,False,0,0
0,23,2019-01-19T17:30:00Z,220,5,True,0,0
0,24,2019-01-29T19:45:00Z,230,4,True,0,0
0,25,2019-02-03T16:30:00Z,247,12,False,0,0
0,26,2019-02-09T15:00:00Z,253,9,False,0,0
0,27,2019-02-24T14:05:00Z,260,15,True,0,0
0,28,2019-02-27T19:45:00Z,270,1,True,0,0
0,29,2019-03-02T12:30:00Z,286,16,False,0,0
0,30,2019-03-10T16:30:00Z,290,13,True,0,0
0,32,2019-04-01T19:00:00Z,310,14,True,0,0
0,33,2019-04-07T13:05:00Z,322,7,False,0,0
0,34,2019-04-15T19:00:00Z,339,17,False,0,0
0,35,2019-04-21T15:00:00Z,340,6,True,0,0
0,35,2019-04-24T18:45:00Z,309,19,False,0,0
0,36,2019-04-28T11:00:00Z,354,10,False,0,0
0,37,2019-05-05T15:30:00Z,360,2,True,0,0
0,38,2019-05-12T14:00:00Z,371,3,False,0,0
1,1,2018-08-12T15:00:00Z,0,12,True,0,0
1,2,2018-08-18T16:30:00Z,13,5,False,0,0
1,3,2018-08-25T14:00:00Z,20,18,True,0,0
1,4,2018-09-02T12:30:00Z,32,4,False,0,0
1,5,2018-09-15T14:00:00Z,45,14,False,0,0
1,6,2018-09-23T15:00:00Z,50,7,True,0,0
1,7,2018-09-29T14:00:00Z,60,17,True,45,2
1,8,2018-10-07T11:00:00Z,73,8,False,90,3
1,9,2018-10-22T19:00:00Z,80,10,True,90,2
1,10,2018-10-28T13:30:00Z,92,6,False,90,1
1,11,2018-11-03T17:30:00Z,100,11,True,90,3
1,12,2018-11-11T16:30:00Z,110,19,True,90,4
1,13,2018-11-25T13:30:00Z,120,1,False,90,3
1,14,2018-12-02T14:05:00Z,130,16,True,90,2
1,15,2018-12-05T20:00:00Z,144,13,False,90,2
1,16,2018-12-08T15:00:00Z,150,9,True,90,7
1,17,2018-12-16T13:30:00Z,166,15,False,90,2
1,18,2018-12-22T12:30:00Z,170,3,True,90,2
1,19,2018-12-26T17:15:00Z,180,2,False,90,2
1,20,2018-12-29T17:30:00Z,195,11,False,90,1
1,21,2019-01-01T15:00:00Z,200,8,True,90,3
1,22,2019-01-12T12:30:00Z,219,18,False,90,2
1,23,2019-01-19T17:30:00Z,220,5,True,90,6
1,24,2019-01-29T19:45:00Z,230,4,True,90,2
1,25,2019-02-03T16:30:00Z,247,12,False,90,5
1,26,2019-02-09T15:00:00Z,253,9,False,90,3
1,27,2019-02-24T14:05:00Z,260,15,True,90,7
1,28,2019-02-27T19:45:00Z,270,1,True,90,3
1,29,2019-03-02T12:30:00Z,286,16,False,90,2
1,30,2019-03-10T16:30:00Z,290,13,True,90,9
1,32,2019-04-01T19:00:00Z,310,14,True,90,6
1,33,2019-04-07T13:05:00Z,322,7,False,90,3
1,34,2019-04-15T19:00:00Z,339,17,False,90,6
1,35,2019-04-21T15:00:00Z,340,6,True,90,2
1,35,2019-04-24T18:45:00Z,309,19,False,90,1
1,36,2019-04-28T11:00:00Z,354,10,False,90,4
1,37,2019-05-05T15:30:00Z,360,2,True,90,3
1,38,2019-05-12T14:00:00Z,371,3,False,90,3
2,1,2018-08-12T15:00:00Z,0,12,True,0,0
2,2,2018-08-18T16:30:00Z,13,5,False,0,0
2,3,2018-08-25T14:00:00Z,20,18,True,0,0
2,4,2018-09-02T12:30:00Z,32,4,False,0,0
2,5,2018-09-15T14:00:00Z,45,14,False,0,0
2,6,2018-09-23T15:00:00Z,50,7,True,0,0
2,7,2018-09-29T14:00:00Z,60,17,True,0,0
2,8,2018-10-07T11:00:00Z,73,8,False,0,0
2,9,2018-10-22T19:00:00Z,80,10,True,0,0
2,10,2018-10-28T13:30:00Z,92,6,False,0,0
2,11,2018-11-03T17:30:00Z,100,11,True,0,0
2,12,2018-11-11T16:30:00Z,110,19,True,0,0
2,13,2018-11-25T13:30:00Z,120,1,False,0,0
2,14,2018-12-02T14:05:00Z,130,16,True,0,0
2,15,2018-12-05T20:00:00Z,144,13,False,0,0
2,16,2018-12-08T15:00:00Z,150,9,True,0,0
2,17,2018-12-16T13:30:00Z,166,15,False,90,0
2,18,2018-12-22T12:30:00Z,170,3,True,0,0
2,19,2018-12-26T17:15:00Z,180,2,False,69,2
2,20,2018-12-29T17:30:00Z,195,11,False,45,1
2,21,2019-01-01T15:00:00Z,200,8,True,90,2
2,22,2019-01-12T12:30:00Z,219,18,False,90,2
2,23,2019-01-19T17:30:00Z,220,5,True,90,15
2,24,2019-01-29T19:45:00Z,230,4,True,0,0
2,25,2019-02-03T16:30:00Z,247,12,False,90,7
2,26,2019-02-09T15:00:00Z,253,9,False,90,3
2,27,2019-02-24T14:05:00Z,260,15,True,34,1
2,28,2019-02-27T19:45:00Z,270,1,True,90,9
