id,team,element_type,first_name,second_name,web_name
0,0,0,Petr,Cech,Cech
1,0,0,Bernd,Leno,Leno
2,0,1,Laurent,Koscielny,Koscielny
3,0,1,Hector,Bellerin,Bellerin
4,0,1,Nacho,Monreal,Monreal
5,0,1,Rob,Holding,Holding
6,0,1,Shkodran,Mustafi,Mustafi
7,0,1,Sead,Kolasinac,Kolasinac
8,8,1,Calum,Chambers,Chambers
9,0,1,Konstantinos,Mavropanos,Mavropanos
10,0,1,Stephan,Lichtsteiner,Lichtsteiner
11,0,1,Sokratis,Papastathopoulos,Sokratis
12,0,2,Mesut,Ozil,Ozil
13,0,2,Aaron,Ramsey,Ramsey
14,0,2,Alex,Iwobi,Iwobi
15,0,2,Mohamed,Elneny,Elneny
16,0,2,Granit,Xhaka,Xhaka
17,0,2,Henrikh,Mkhitaryan,Mkhitaryan
18,0,2,Reiss,Nelson,Nelson
19,0,2,Ainsley,Maitland-Niles,Maitland-Niles
20,0,3,Danny,Welbeck,Welbeck
21,0,3,Alexandre,Lacazette,Lacazette
22,0,3,Pierre-Emerick,Aubameyang,Aubameyang
23,1,0,Asmir,Begovic,Begovic
24,1,0,Artur,Boruc,Boruc
25,1,1,Simon,Francis,Francis
26,1,1,Steve,Cook,Steve Cook
27,1,1,Charlie,Daniels,Daniels
28,1,1,Adam,Smith,Adam Smith
29,1,1,Tyrone,Mings,Mings
30,1,1,Nathan,Ake,Ake
31,1,1,Jack,Simpson,Simpson
32,4,2,Harry,Arter,Arter
33,1,2,Marc,Pugh,Pugh
34,1,2,Andrew,Surman,Surman
35,1,2,Junior,Stanislas,Stanislas
36,1,2,Dan,Gosling,Gosling
37,1,2,Jordon,Ibe,Ibe
38,1,2,Lewis,Cook,Lewis Cook
39,1,2,Ryan,Fraser,Fraser
40,1,2,Emerson,Hyndman,Hyndman
41,1,2,David,Brooks,Brooks
42,1,3,Callum,Wilson,Wilson
43,1,3,Lys,Mousset,Mousset
44,1,3,Joshua,King,King
45,1,3,Jermain,Defoe,Defoe
46,2,0,Mathew,Ryan,Ryan
47,2,1,Lewis,Dunk,Dunk
48,2,1,Shane,Duffy,Duffy
49,2,1,Bruno,Saltor Grau,Bruno
50,2,1,Gaetan,Bong,Bong
51,2,1,Markus,Suttner,Suttner
52,2,1,Ezequiel,Schelotto,Schelotto
53,2,1,Leon,Balogun,Balogun
54,2,2,Anthony,Knockaert,Knockaert
55,2,2,Dale,Stephens,Stephens
56,2,2,Beram,Kayal,Kayal
57,2,2,Solomon,March,March
58,2,2,Pascal,Gro,Gro
59,2,2,Davy,Propper,Propper
60,2,2,Jose Heriberto,Izquierdo Mena,Izquierdo
61,2,3,Glenn,Murray,Murray
62,2,3,Tomer,Hemed,Hemed
63,2,3,Sam,Baldock,Baldock
64,2,3,Jurgen,Locadia,Locadia
65,2,3,Florin,Andone,Andone
66,3,0,Tom,Heaton,Heaton
67,3,0,Nick,Pope,Pope
68,3,1,Matthew,Lowton,Lowton
69,3,1,Ben,Mee,Mee
70,3,1,Stephen,Ward,Ward
71,3,1,James,Tarkowski,Tarkowski
72,3,1,Kevin,Long,Long
73,3,1,Charlie,Taylor,Taylor
74,3,1,Phil,Bardsley,Bardsley
75,3,2,Johann Berg,Gudmundsson,Gudmundsson
76,3,2,Steven,Defour,Defour
77,3,2,Jeff,Hendrick,Hendrick
78,3,2,Robbie,Brady,Brady
79,3,2,Ashley,Westwood,Westwood
80,3,2,Jonathan,Walters,Walters
81,3,2,Jack,Cork,Cork
82,3,2,Aaron,Lennon,Lennon
83,3,3,Sam,Vokes,Vokes
84,3,3,Ashley,Barnes,Barnes
85,3,3,Nahki,Wells,Wells
86,3,3,Chris,Wood,Wood
87,4,0,Neil,Etheridge,Etheridge
88,4,0,Alex,Smithies,Smithies
89,4,1,Sean,Morrison,Morrison
90,4,1,Sol,Bamba,Bamba
91,4,1,Bruno,Ecuele Manga,Ecuele Manga
92,4,1,Matthew,Connolly,Connolly
93,4,1,Joe,Bennett,Bennett
94,4,1,Lee,Peltier,Peltier
95,4,1,Ashley Darel Jazz,Richards,Jazz Richards
96,4,1,Greg,Halford,Halford
97,4,2,Joe,Ralls,Ralls
98,4,2,David Junior,Hoilett,Hoilett
99,4,2,Nathaniel,Mendez-Laing,Mendez-Laing
100,4,2,Callum,Paterson,Paterson
101,4,2,Aron,Gunnarsson,Gunnarsson
102,4,2,Anthony,Pilkington,Pilkington
103,4,2,Loic,Damour,Damour
104,4,2,Danny,Ward,Ward
105,4,2,Josh,Murphy,Murphy
106,4,3,Kenneth,Zohore,Zohore
107,4,3,Omar,Bogle,Bogle
108,4,3,Gary,Madine,Madine
109,4,3,Bobby,Reid,Reid
110,5,0,Thibaut,Courtois,Courtois
111,5,0,Willy,Caballero,Caballero
112,5,1,Cesar,Azpilicueta,Azpilicueta
113,5,1,Gary,Cahill,Cahill
114,5,1,Marcos,Alonso,Alonso
115,5,1,David,Luiz Moreira Marinho,David Luiz
116,5,1,Victor,Moses,Moses
117,5,1,Antonio,Rudiger,Rudiger
118,5,1,Andreas,Christensen,Christensen
119,5,1,Davide,Zappacosta,Zappacosta
120,5,1,Emerson,Palmieri dos Santos,Emerson
121,5,2,Eden,Hazard,Hazard
122,5,2,Cesc,Fabregas,Fabregas
123,5,2,Willian,Borges Da Silva,Willian
124,5,2,Pedro,Rodriguez Ledesma,Pedro
125,5,2,N'Golo,Kante,Kante
126,5,2,Ross,Barkley,Barkley
127,5,2,Daniel,Drinkwater,Drinkwater
128,5,2,Tiemoue,Bakayoko,Bakayoko
129,5,2,Ethan,Ampadu,Ampadu
130,5,2,Callum,Hudson-Odoi,Hudson-Odoi
131,5,2,Ruben,Loftus-Cheek,Loftus-Cheek
132,5,3,Olivier,Giroud,Giroud
133,5,3,Alvaro,Morata,Morata
134,6,0,Wayne,Hennessey,Hennessey
135,6,0,Julian,Speroni,Speroni
136,6,0,Vicente,Guaita,Guaita
137,6,1,James,Tomkins,Tomkins
138,6,1,Scott,Dann,Dann
139,6,1,Martin,Kelly,Kelly
140,6,1,Jeffrey,Schlupp,Schlupp
141,6,1,Patrick,van Aanholt,van Aanholt
142,6,1,Mamadou,Sakho,Sakho
143,6,1,Jairo,Riedewald,Riedewald
144,6,1,Aaron,Wan-Bissaka,Wan-Bissaka
145,9,2,Jason,Puncheon,Puncheon
146,6,2,James,McArthur,McArthur
147,6,2,Bakary,Sako,Sako
148,6,2,Andros,Townsend,Townsend
149,6,2,Luka,Milivojevic,Milivojevic
150,6,3,Wilfried,Zaha,Zaha
151,6,3,Christian,Benteke,Benteke
152,6,3,Alexander,Srloth,Srloth
153,7,0,Jordan,Pickford,Pickford
154,7,0,Maarten,Stekelenburg,Stekelenburg
155,7,1,Leighton,Baines,Baines
156,7,1,Seamus,Coleman,Coleman
157,7,1,Phil,Jagielka,Jagielka
158,7,1,Ashley,Williams,Williams
159,7,1,Mason,Holgate,Holgate
160,7,1,Jonjoe,Kenny,Kenny
161,7,1,Michael,Keane,Keane
162,7,1,Cuco,Martina,Martina
163,7,2,Theo,Walcott,Walcott
164,7,2,Yannick,Bolasie,Bolasie
165,7,2,James,McCarthy,McCarthy
166,7,2,Morgan,Schneiderlin,Schneiderlin
167,7,2,Idrissa,Gueye,Gueye
168,7,2,Tom,Davies,Davies
169,7,2,Ademola,Lookman,Lookman
170,7,2,Davy,Klaassen,Klaassen
171,7,2,Gylfi,Sigurdsson,Sigurdsson
172,7,2,Nikola,Vlasic,Vlasic
173,7,2,Beni,Baningime,Baningime
174,7,3,Dominic,Calvert-Lewin,Calvert-Lewin
175,4,3,Oumar,Niasse,Niasse
176,7,3,Cenk,Tosun,Tosun
177,8,0,Marcus,Bettinelli,Bettinelli
178,2,0,David,Button,Button
179,8,1,Tim,Ream,Ream
180,8,1,Denis,Odoi,Odoi
181,8,2,Tom,Cairney,Cairney
182,8,2,Kevin,McDonald,McDonald
183,8,2,Ryan,Sessegnon,Sessegnon
184,8,2,Stefan,Johansen,Johansen
185,8,2,Floyd,Ayite,Ayite
186,8,2,Neeskens,Kebano,Kebano
187,8,2,Rui Pedro,da Rocha Fonte,Fonte
188,8,3,Aboubakar,Kamara,Kamara
189,9,0,Ben,Hamer,Hamer
190,9,0,Jonas,Lossl,Lossl
191,9,1,Christopher,Schindler,Schindler
192,9,1,Chris,Lowe,Lowe
193,9,1,Tommy,Smith,Smith
194,9,1,Mathias,Jorgensen,Zanka
195,9,1,Scott,Malone,Malone
196,9,1,Florent,Hadergjonaj,Hadergjonaj
197,9,1,Terence,Kongolo,Kongolo
198,9,2,Aaron,Mooy,Mooy
199,9,2,Rajiv,van La Parra,van La Parra
200,9,2,Jonathan,Hogg,Hogg
201,9,2,Philip,Billing,Billing
202,9,2,Tom,Ince,Ince
203,9,2,Danny,Williams,Williams
204,9,2,Abdelhamid,Sabiri,Sabiri
205,9,2,Alex,Pritchard,Pritchard
206,9,2,Ramadan,Sobhi,Sobhi
207,9,2,Juninho,Bacuna,Bacuna
208,9,3,Collin,Quaner,Quaner
209,9,3,Laurent,Depoitre,Depoitre
210,9,3,Steve,Mounie,Mounie
211,9,3,Elias,Kachunga,Kachunga
212,10,0,Kasper,Schmeichel,Schmeichel
213,10,0,Eldin,Jakupovic,Jakupovic
214,10,1,Wes,Morgan,Morgan
215,10,1,Christian,Fuchs,Fuchs
216,10,1,Danny,Simpson,Simpson
217,10,1,Yohan,Benalouane,Benalouane
218,10,1,Benjamin,Chilwell,Chilwell
219,10,1,Harry,Maguire,Maguire
220,10,1,Ricardo Domingos,Barbosa Pereira,Pereira
221,10,1,Jonny,Evans,Evans
222,12,2,Riyad,Mahrez,Mahrez
223,10,2,Marc,Albrighton,Albrighton
224,10,2,Demarai,Gray,Gray
225,10,2,Daniel,Amartey,Amartey
226,10,2,Wilfred,Ndidi,Ndidi
227,10,2,Vicente,Iborra,Iborra
228,10,2,Matty,James,James
229,10,2,Hamza,Choudhury,Choudhury
230,10,2,Adrien Sebastian,Perruchet Silva,Silva
231,10,2,Fousseni,Diabate,Diabate
232,10,2,James,Maddison,Maddison
233,10,3,Jamie,Vardy,Vardy
234,10,3,Shinji,Okazaki,Okazaki
235,10,3,Kelechi,Iheanacho,Iheanacho
236,11,0,Simon,Mignolet,Mignolet
237,11,0,Loris,Karius,Karius
238,11,1,Dejan,Lovren,Lovren
239,11,1,Alberto,Moreno,Moreno
240,1,1,Nathaniel,Clyne,Clyne
241,11,1,Joseph,Gomez,Gomez
242,11,1,Joel,Matip,Matip
243,11,1,Ragnar,Klavan,Klavan
244,11,1,Trent,Alexander-Arnold,Alexander-Arnold
245,11,1,Virgil,van Dijk,van Dijk
246,11,1,Andrew,Robertson,Robertson
247,11,2,Alex,Oxlade-Chamberlain,Chamberlain
248,11,2,Jordan,Henderson,Henderson
249,11,2,Adam,Lallana,Lallana
250,11,2,Sadio,Mane,Mane
251,11,2,Georginio,Wijnaldum,Wijnaldum
