id,kickoff_time,team_h,team_a,team_h_score,team_a_score,team_h_difficulty,team_a_difficulty
0,2018-08-12T15:00:00Z,1,13,0,2,4,4
1,2018-08-11T14:00:00Z,2,5,2,0,2,3
2,2018-08-11T14:00:00Z,9,7,0,2,2,2
3,2018-08-11T14:00:00Z,10,6,0,3,4,2
4,2018-08-12T12:30:00Z,12,19,4,0,3,5
5,2018-08-10T19:00:00Z,14,11,2,1,3,4
6,2018-08-11T11:30:00Z,15,17,1,2,4,3
7,2018-08-12T12:30:00Z,16,4,0,0,2,2
8,2018-08-11T14:00:00Z,18,3,2,0,2,3
9,2018-08-11T16:30:00Z,20,8,2,2,2,3
10,2018-08-19T15:00:00Z,3,14,3,2,4,2
11,2018-08-19T12:30:00Z,4,18,1,3,3,3
12,2018-08-18T11:30:00Z,5,15,0,0,2,2
13,2018-08-18T16:30:00Z,6,1,3,2,4,4
14,2018-08-20T19:00:00Z,7,12,0,2,4,2
15,2018-08-18T14:00:00Z,8,16,2,1,2,3
16,2018-08-18T14:00:00Z,11,20,2,0,3,3
17,2018-08-19T12:30:00Z,13,10,6,1,2,5
18,2018-08-18T14:00:00Z,17,9,3,1,2,4
19,2018-08-18T14:00:00Z,19,2,1,2,2,3
20,2018-08-25T14:00:00Z,1,19,3,1,3,4
21,2018-08-25T14:00:00Z,2,8,2,2,2,3
22,2018-08-26T15:00:00Z,9,4,4,2,2,2
23,2018-08-25T14:00:00Z,10,5,0,0,2,2
24,2018-08-25T16:30:00Z,12,3,1,0,2,5
25,2018-08-27T19:00:00Z,14,17,0,3,4,4
26,2018-08-26T15:00:00Z,15,6,1,2,4,3
27,2018-08-25T14:00:00Z,16,11,1,2,3,2
28,2018-08-26T12:30:00Z,18,7,2,1,2,3
29,2018-08-25T11:30:00Z,20,13,1,1,4,3
30,2018-09-01T14:00:00Z,3,9,2,2,2,2
31,2018-09-02T15:00:00Z,4,14,0,2,4,3
32,2018-09-02T12:30:00Z,5,1,2,3,4,2
33,2018-09-01T14:00:00Z,6,2,2,0,2,4
34,2018-09-01T14:00:00Z,7,16,0,2,2,2
35,2018-09-01T14:00:00Z,8,10,1,1,2,3
36,2018-09-01T11:30:00Z,11,12,1,2,4,3
37,2018-09-01T16:30:00Z,13,15,2,1,2,5
38,2018-09-02T15:00:00Z,18,17,2,1,4,3
39,2018-09-01T14:00:00Z,19,20,0,1,3,3
40,2018-09-15T14:00:00Z,2,11,4,2,3,3
41,2018-09-15T14:00:00Z,6,5,4,1,2,4
42,2018-09-16T15:00:00Z,8,19,1,3,3,3
43,2018-09-15T14:00:00Z,10,7,0,1,2,2
44,2018-09-15T14:00:00Z,13,9,3,0,2,5
45,2018-09-15T14:00:00Z,15,1,1,2,4,3
46,2018-09-17T19:00:00Z,16,3,2,2,2,2
47,2018-09-15T11:30:00Z,17,12,1,2,4,4
48,2018-09-15T16:30:00Z,18,14,1,2,4,3
49,2018-09-16T12:30:00Z,20,4,1,0,2,3
50,2018-09-23T15:00:00Z,1,8,2,0,2,4
51,2018-09-22T16:30:00Z,3,17,1,2,4,2
52,2018-09-22T14:00:00Z,4,2,4,0,2,3
53,2018-09-22T14:00:00Z,5,13,0,5,4,2
54,2018-09-22T14:00:00Z,7,15,0,0,2,2
55,2018-09-22T11:30:00Z,9,18,1,1,3,2
56,2018-09-22T14:00:00Z,11,10,3,1,2,3
57,2018-09-22T14:00:00Z,12,16,3,0,2,5
58,2018-09-22T14:00:00Z,14,20,1,1,3,4
59,2018-09-23T12:30:00Z,19,6,0,0,4,3
60,2018-09-29T14:00:00Z,1,18,2,0,3,4
61,2018-10-01T19:00:00Z,2,7,2,1,2,3
62,2018-09-30T15:00:00Z,5,4,1,2,2,2
63,2018-09-29T16:30:00Z,6,12,1,1,4,4
64,2018-09-29T14:00:00Z,8,9,3,0,2,3
65,2018-09-29T14:00:00Z,10,17,0,2,4,2
66,2018-09-29T14:00:00Z,13,3,2,0,2,5
67,2018-09-29T14:00:00Z,15,11,0,2,3,3
68,2018-09-29T11:30:00Z,19,14,3,1,4,3
69,2018-09-29T14:00:00Z,20,16,2,0,2,3
70,2018-10-05T19:00:00Z,3,19,1,0,3,2
71,2018-10-06T14:00:00Z,4,10,1,1,2,3
72,2018-10-06T14:00:00Z,7,20,0,1,3,2
73,2018-10-07T11:00:00Z,9,1,1,5,4,2
74,2018-10-06T14:00:00Z,11,8,1,2,2,3
75,2018-10-07T15:30:00Z,12,13,0,0,4,5
76,2018-10-06T16:30:00Z,14,15,3,2,2,4
77,2018-10-07T13:15:00Z,16,6,0,3,4,2
78,2018-10-06T14:00:00Z,17,5,1,0,2,4
79,2018-10-06T14:00:00Z,18,2,0,4,2,3
80,2018-10-22T19:00:00Z,1,11,3,1,3,4
81,2018-10-20T14:00:00Z,2,16,0,0,2,3
82,2018-10-20T14:00:00Z,5,9,4,2,2,2
83,2018-10-20T11:30:00Z,6,14,2,2,4,4
84,2018-10-21T15:00:00Z,8,7,2,0,2,3
85,2018-10-20T16:30:00Z,10,12,0,1,4,2
86,2018-10-20T14:00:00Z,13,4,5,0,2,5
87,2018-10-20T14:00:00Z,15,3,0,1,2,3
88,2018-10-20T14:00:00Z,19,17,0,1,4,3
89,2018-10-20T14:00:00Z,20,18,0,2,3,3
90,2018-10-27T14:00:00Z,3,20,1,0,3,2
91,2018-10-28T13:30:00Z,4,6,0,4,4,3
92,2018-10-28T13:30:00Z,7,1,2,2,4,2
93,2018-10-27T14:00:00Z,9,2,0,3,2,2
94,2018-10-27T16:30:00Z,11,19,1,1,3,3
95,2018-10-27T14:00:00Z,12,5,4,1,2,5
96,2018-10-28T16:00:00Z,14,8,2,1,2,4
97,2018-10-27T14:00:00Z,16,15,0,0,2,2
98,2018-10-29T20:00:00Z,17,13,0,1,4,4
99,2018-10-27T14:00:00Z,18,10,3,0,2,3
100,2018-11-03T17:30:00Z,1,12,1,1,4,4
101,2018-11-03T12:30:00Z,2,14,1,2,4,3
102,2018-11-03T15:00:00Z,5,11,0,1,3,2
103,2018-11-04T16:00:00Z,6,7,3,1,2,4
104,2018-11-03T15:00:00Z,8,3,3,1,2,3
105,2018-11-05T20:00:00Z,10,9,1,0,2,2
106,2018-11-04T15:00:00Z,13,16,6,1,2,5
107,2018-11-03T15:00:00Z,15,18,1,0,3,3
108,2018-11-03T15:00:00Z,19,4,4,2,2,3
109,2018-11-03T19:45:00Z,20,17,2,3,4,3
110,2018-11-11T16:30:00Z,1,20,1,1,3,4
111,2018-11-10T12:30:00Z,5,3,2,1,2,2
112,2018-11-11T14:15:00Z,6,8,0,0,2,4
113,2018-11-10T17:30:00Z,7,17,0,1,4,2
114,2018-11-10T15:00:00Z,10,19,1,1,3,2
115,2018-11-10T15:00:00Z,11,4,0,0,2,3
116,2018-11-11T12:00:00Z,12,9,2,0,2,5
117,2018-11-11T16:30:00Z,13,14,3,1,4,5
118,2018-11-10T15:00:00Z,15,2,2,1,2,3
119,2018-11-10T15:00:00Z,16,18,1,1,3,2
120,2018-11-25T13:30:00Z,2,1,1,2,4,3
121,2018-11-24T15:00:00Z,3,11,1,1,3,2
122,2018-11-26T20:30:00Z,4,15,1,2,2,3
123,2018-11-24T15:00:00Z,8,5,1,0,2,3
124,2018-11-24T15:00:00Z,9,16,3,2,2,2
125,2018-11-24T15:00:00Z,14,7,0,0,2,4
126,2018-11-24T17:30:00Z,17,6,3,1,4,4
127,2018-11-24T15:00:00Z,18,12,0,3,4,3
128,2018-11-24T15:00:00Z,19,13,0,4,4,3
129,2018-11-25T16:00:00Z,20,10,0,2,2,3
130,2018-12-02T14:05:00Z,1,17,4,2,4,4
131,2018-11-30T20:00:00Z,5,20,2,1,3,2
132,2018-12-02T12:00:00Z,6,9,2,0,2,4
133,2018-12-01T15:00:00Z,7,4,2,0,2,2
