id,first_name,second_name,display_name,position
0,Petr,Cech,Cech,0
1,Bernd,Leno,Leno,0
2,Laurent,Koscielny,Koscielny,1
3,Héctor,Bellerín,Bellerín,1
4,Nacho,Monreal,Monreal,1
5,Rob,Holding,Holding,1
6,Shkodran,Mustafi,Mustafi,1
7,Sead,Kolasinac,Kolasinac,1
8,Calum,Chambers,Chambers,1
9,Konstantinos,Mavropanos,Mavropanos,1
10,Stephan,Lichtsteiner,Lichtsteiner,1
11,Sokratis,Papastathopoulos,Sokratis,1
12,Mesut,Özil,Özil,2
13,Aaron,Ramsey,Ramsey,2
14,Alex,Iwobi,Iwobi,2
15,Mohamed,Elneny,Elneny,2
16,Granit,Xhaka,Xhaka,2
17,Henrikh,Mkhitaryan,Mkhitaryan,2
18,Reiss,Nelson,Nelson,2
19,Ainsley,Maitland-Niles,Maitland-Niles,2
20,Danny,Welbeck,Welbeck,3
21,Alexandre,Lacazette,Lacazette,3
22,Pierre-Emerick,Aubameyang,Aubameyang,3
23,Asmir,Begovic,Begovic,0
24,Artur,Boruc,Boruc,0
25,Simon,Francis,Francis,1
26,Steve,Cook,Steve Cook,1
27,Charlie,Daniels,Daniels,1
28,Adam,Smith,Adam Smith,1
29,Tyrone,Mings,Mings,1
30,Nathan,Aké,Aké,1
31,Jack,Simpson,Simpson,1
32,Harry,Arter,Arter,2
33,Marc,Pugh,Pugh,2
34,Andrew,Surman,Surman,2
35,Junior,Stanislas,Stanislas,2
36,Dan,Gosling,Gosling,2
37,Jordon,Ibe,Ibe,2
38,Lewis,Cook,Lewis Cook,2
39,Ryan,Fraser,Fraser,2
40,Emerson,Hyndman,Hyndman,2
41,David,Brooks,Brooks,2
42,Callum,Wilson,Wilson,3
43,Lys,Mousset,Mousset,3
44,Joshua,King,King,3
45,Jermain,Defoe,Defoe,3
46,Mathew,Ryan,Ryan,0
47,Lewis,Dunk,Dunk,1
48,Shane,Duffy,Duffy,1
49,Bruno,Saltor Grau,Bruno,1
50,Gaëtan,Bong,Bong,1
51,Markus,Suttner,Suttner,1
52,Ezequiel,Schelotto,Schelotto,1
53,Leon,Balogun,Balogun,1
