,ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0,0,0,0,1,0,3,3,1,0,0,0,0,3,0,0,0,3,0,0,0
1,0,3,0,1,0,3,3,1,0,0,0,3,3,0,1,0,3,3,0,0
2,0,3,0,1,1,6,3,2,0,0,3,3,4,0,1,0,6,3,0,0
3,3,3,0,1,1,6,3,2,1,1,3,6,4,3,1,3,6,3,0,3
4,6,3,1,1,1,6,6,2,1,1,3,9,4,6,1,3,6,3,3,3
5,6,3,1,1,1,7,6,2,1,1,3,9,7,6,2,3,9,4,3,4
6,6,3,1,4,1,7,6,2,1,1,6,10,7,6,2,3,12,4,3,4
7,9,6,1,4,1,10,6,5,1,2,6,10,8,6,2,3,12,4,3,7
8,9,6,4,4,1,10,6,5,1,2,6,13,8,7,2,4,15,7,3,7
9,10,9,4,4,1,13,6,5,1,2,6,13,11,7,3,4,15,7,4,7
10,10,9,4,4,1,13,6,5,1,2,9,14,11,10,3,4,18,7,4,7
11,10,9,4,5,1,13,6,6,1,2,9,14,11,10,3,4,21,8,5,8
12,13,9,4,5,1,13,7,6,1,5,10,17,14,10,6,4,21,8,5,8
13,13,9,7,5,1,13,7,6,1,5,10,17,14,11,6,4,21,8,8,8
14,14,9,7,5,1,13,7,6,1,5,11,20,17,11,7,4,21,8,8,8
15,14,9,7,5,1,13,7,6,1,5,11,23,17,11,7,4,24,9,8,11
16,14,9,7,5,1,16,7,6,1,5,11,23,17,11,10,4,24,9,11,11
17,14,9,7,5,1,16,10,6,2,5,14,26,17,14,10,7,27,12,11,11
18,15,9,7,5,2,19,10,9,2,5,14,26,17,14,10,7,27,12,14,12
19,15,9,7,5,5,22,10,9,2,5,14,26,20,14,11,7,27,12,14,15
20,15,9,8,8,5,22,13,9,2,5,17,26,20,17,11,8,30,13,14,15
21,15,9,8,8,5,22,13,9,2,6,17,29,20,20,11,11,30,16,14,15
22,15,9,8,9,5,22,13,9,2,6,17,29,23,20,11,11,33,16,14,15
23,15,9,8,10,5,22,14,12,2,6,18,29,23,20,11,11,33,16,14,15
24,15,9,8,10,5,22,14,12,2,6,18,30,23,23,11,12,33,17,14,18
25,18,9,8,13,8,22,14,12,2,6,18,30,26,26,12,12,33,17,15,18
26,18,9,8,13,8,22,17,12,2,6,18,31,26,26,12,12,33,20,15,19
27,18,9,8,13,8,25,17,15,2,6,18,31,26,29,12,12,33,20,15,19
28,19,9,11,13,8,25,20,15,2,6,18,32,29,29,12,12,33,20,15,19
29,19,12,11,13,8,25,20,15,2,6,18,32,29,29,12,12,33,20,15,20
30,19,12,11,13,8,28,20,15,2,6,21,35,32,29,13,15,33,20,15,20
31,19,12,11,13,8,28,20,18,2,6,21,35,32,29,13,15,33,20,15,20
32,22,12,11,16,8,28,23,18,2,6,24,38,35,29,13,15,33,20,15,20
33,22,15,12,16,11,28,23,18,2,6,24,38,35,29,16,15,33,23,15,20
34,22,15,12,17,11,28,26,18,5,6,25,41,38,29,16,16,33,23,15,20
35,22,16,12,17,11,29,26,19,5,6,25,41,41,29,17,16,33,23,18,23
36,22,16,13,17,11,29,29,19,5,6,25,44,41,30,17,16,33,23,18,23
37,25,16,13,17,14,30,29,20,5,7,25,44,44,30,20,16,33,23,21,23
