,ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,3,0,1
1,0,3,3,0,1,3,0,3,0,0,3,3,3,3,0,1,3,3,0,1
2,3,4,3,0,1,3,0,3,3,1,3,6,3,3,0,1,3,6,0,2
3,3,4,4,0,1,6,0,4,3,1,3,6,6,3,0,1,3,9,0,2
4,3,7,4,0,1,9,0,4,3,1,3,6,9,3,0,2,3,9,0,5
5,6,7,4,3,1,9,1,4,4,1,6,9,9,4,0,2,3,9,1,5
6,9,10,4,3,1,10,1,7,4,1,6,9,12,4,0,2,3,9,4,8
7,9,10,7,4,1,10,1,7,4,1,6,10,12,7,0,2,6,9,4,8
8,12,11,7,4,4,11,1,10,4,1,6,10,15,7,0,2,6,9,4,8
9,12,11,10,4,4,11,2,10,4,1,7,13,15,10,0,3,6,12,4,8
10,13,11,10,4,4,14,2,13,4,4,7,13,18,10,3,3,6,12,7,8
11,14,11,10,4,7,15,2,13,4,5,8,16,21,10,6,4,6,12,7,8
12,14,11,11,4,7,15,2,16,7,5,8,16,21,11,6,4,9,12,7,8
13,17,11,11,4,10,18,5,16,7,5,11,19,24,11,6,5,9,12,7,8
14,17,14,14,4,10,18,5,17,8,5,11,19,24,12,6,5,12,12,10,11
15,20,14,14,7,13,21,5,18,8,5,11,19,24,15,6,5,12,12,13,11
16,20,14,14,7,13,21,8,18,8,5,11,22,27,15,6,8,15,15,13,14
17,23,17,14,7,13,21,8,18,8,5,11,22,27,15,7,8,15,15,13,14
18,23,17,15,7,13,21,9,18,9,5,14,25,27,18,7,8,18,15,13,14
19,23,17,18,10,13,21,9,18,12,5,14,28,27,21,7,8,18,16,13,14
20,26,18,18,10,13,22,9,18,12,5,14,28,30,21,7,8,18,16,14,14
21,26,18,18,13,14,25,9,21,12,5,14,28,33,21,7,8,18,16,17,14
22,29,21,18,13,14,25,9,21,12,5,14,31,33,24,10,11,18,17,17,17
23,32,24,18,13,14,25,9,21,15,5,14,32,33,25,13,12,21,17,17,20
24,32,24,19,14,17,28,12,21,15,5,14,32,36,25,13,12,24,17,18,20
25,32,24,19,14,17,28,13,21,15,5,14,35,36,25,13,12,27,20,18,21
26,35,25,19,17,17,31,13,21,15,5,14,35,39,26,16,12,27,20,21,21
27,38,25,22,17,17,31,13,21,15,8,17,38,42,26,19,15,27,20,21,21
28,38,25,22,17,17,32,13,22,15,8,17,38,42,29,19,15,28,23,24,24
29,41,25,22,17,20,32,13,22,15,8,20,41,45,29,22,18,28,23,24,24
30,44,26,22,17,20,32,16,25,15,8,20,41,45,32,22,18,28,23,27,24
31,44,26,22,20,20,35,16,25,15,8,23,44,48,32,22,18,31,26,27,27
32,44,26,22,20,20,38,16,28,15,8,23,44,48,35,22,21,34,26,27,27
33,44,26,22,23,20,38,16,28,18,8,23,47,51,35,22,21,34,26,27,28
34,44,26,22,23,20,39,16,31,18,8,23,47,51,35,25,21,37,27,28,31
35,44,26,23,23,20,39,17,31,21,8,26,50,51,36,25,22,37,27,28,31
36,45,29,23,23,20,42,17,34,21,9,26,50,54,36,25,22,37,27,31,34
37,45,29,23,23,20,42,20,34,21,9,27,53,54,36,25,23,38,27,31,34
