ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
2018-08-12 15:00:00+00:00,2018-08-11 14:00:00+00:00,2018-08-11 14:00:00+00:00,2018-08-12 12:30:00+00:00,2018-08-11 14:00:00+00:00,2018-08-11 14:00:00+00:00,2018-08-11 14:00:00+00:00,2018-08-11 16:30:00+00:00,2018-08-11 14:00:00+00:00,2018-08-11 14:00:00+00:00,2018-08-10 19:00:00+00:00,2018-08-12 12:30:00+00:00,2018-08-12 15:00:00+00:00,2018-08-10 19:00:00+00:00,2018-08-11 11:30:00+00:00,2018-08-12 12:30:00+00:00,2018-08-11 11:30:00+00:00,2018-08-11 14:00:00+00:00,2018-08-12 12:30:00+00:00,2018-08-11 16:30:00+00:00
2018-08-18 16:30:00+00:00,2018-08-18 14:00:00+00:00,2018-08-19 15:00:00+00:00,2018-08-19 12:30:00+00:00,2018-08-18 11:30:00+00:00,2018-08-18 16:30:00+00:00,2018-08-20 19:00:00+00:00,2018-08-18 14:00:00+00:00,2018-08-18 14:00:00+00:00,2018-08-19 12:30:00+00:00,2018-08-18 14:00:00+00:00,2018-08-20 19:00:00+00:00,2018-08-19 12:30:00+00:00,2018-08-19 15:00:00+00:00,2018-08-18 11:30:00+00:00,2018-08-18 14:00:00+00:00,2018-08-18 14:00:00+00:00,2018-08-19 12:30:00+00:00,2018-08-18 14:00:00+00:00,2018-08-18 14:00:00+00:00
2018-08-25 14:00:00+00:00,2018-08-25 14:00:00+00:00,2018-08-25 16:30:00+00:00,2018-08-26 15:00:00+00:00,2018-08-25 14:00:00+00:00,2018-08-26 15:00:00+00:00,2018-08-26 12:30:00+00:00,2018-08-25 14:00:00+00:00,2018-08-26 15:00:00+00:00,2018-08-25 14:00:00+00:00,2018-08-25 14:00:00+00:00,2018-08-25 16:30:00+00:00,2018-08-25 11:30:00+00:00,2018-08-27 19:00:00+00:00,2018-08-26 15:00:00+00:00,2018-08-25 14:00:00+00:00,2018-08-27 19:00:00+00:00,2018-08-26 12:30:00+00:00,2018-08-25 14:00:00+00:00,2018-08-25 11:30:00+00:00
2018-09-02 12:30:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 14:00:00+00:00,2018-09-02 15:00:00+00:00,2018-09-02 12:30:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 11:30:00+00:00,2018-09-01 11:30:00+00:00,2018-09-01 16:30:00+00:00,2018-09-02 15:00:00+00:00,2018-09-01 16:30:00+00:00,2018-09-01 14:00:00+00:00,2018-09-02 15:00:00+00:00,2018-09-02 15:00:00+00:00,2018-09-01 14:00:00+00:00,2018-09-01 14:00:00+00:00
2018-09-15 14:00:00+00:00,2018-09-15 14:00:00+00:00,2018-09-17 19:00:00+00:00,2018-09-16 12:30:00+00:00,2018-09-15 14:00:00+00:00,2018-09-15 14:00:00+00:00,2018-09-15 14:00:00+00:00,2018-09-16 15:00:00+00:00,2018-09-15 14:00:00+00:00,2018-09-15 14:00:00+00:00,2018-09-15 14:00:00+00:00,2018-09-15 11:30:00+00:00,2018-09-15 14:00:00+00:00,2018-09-15 16:30:00+00:00,2018-09-15 14:00:00+00:00,2018-09-17 19:00:00+00:00,2018-09-15 11:30:00+00:00,2018-09-15 16:30:00+00:00,2018-09-16 15:00:00+00:00,2018-09-16 12:30:00+00:00
2018-09-23 15:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 16:30:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-23 12:30:00+00:00,2018-09-22 14:00:00+00:00,2018-09-23 15:00:00+00:00,2018-09-22 11:30:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 14:00:00+00:00,2018-09-22 16:30:00+00:00,2018-09-22 11:30:00+00:00,2018-09-23 12:30:00+00:00,2018-09-22 14:00:00+00:00
2018-09-29 14:00:00+00:00,2018-10-01 19:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-30 15:00:00+00:00,2018-09-30 15:00:00+00:00,2018-09-29 16:30:00+00:00,2018-10-01 19:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 16:30:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 11:30:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 14:00:00+00:00,2018-09-29 11:30:00+00:00,2018-09-29 14:00:00+00:00
2018-10-07 11:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-05 19:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-07 13:15:00+00:00,2018-10-06 14:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-07 11:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-07 15:30:00+00:00,2018-10-07 15:30:00+00:00,2018-10-06 16:30:00+00:00,2018-10-06 16:30:00+00:00,2018-10-07 13:15:00+00:00,2018-10-06 14:00:00+00:00,2018-10-06 14:00:00+00:00,2018-10-05 19:00:00+00:00,2018-10-06 14:00:00+00:00
2018-10-22 19:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 11:30:00+00:00,2018-10-21 15:00:00+00:00,2018-10-21 15:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 16:30:00+00:00,2018-10-22 19:00:00+00:00,2018-10-20 16:30:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 11:30:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00,2018-10-20 14:00:00+00:00
2018-10-28 13:30:00+00:00,2018-10-27 14:00:00+00:00,2018-10-27 14:00:00+00:00,2018-10-28 13:30:00+00:00,2018-10-27 14:00:00+00:00,2018-10-28 13:30:00+00:00,2018-10-28 13:30:00+00:00,2018-10-28 16:00:00+00:00,2018-10-27 14:00:00+00:00,2018-10-27 14:00:00+00:00,2018-10-27 16:30:00+00:00,2018-10-27 14:00:00+00:00,2018-10-29 20:00:00+00:00,2018-10-28 16:00:00+00:00,2018-10-27 14:00:00+00:00,2018-10-27 14:00:00+00:00,2018-10-29 20:00:00+00:00,2018-10-27 14:00:00+00:00,2018-10-27 16:30:00+00:00,2018-10-27 14:00:00+00:00
