ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
-2.0,2.0,-2.0,0.0,-2.0,3.0,2.0,0.0,-2.0,-3.0,-1.0,4.0,2.0,1.0,-1.0,0.0,1.0,2.0,-4.0,0.0
-3.0,3.0,-1.0,-2.0,-2.0,4.0,0.0,1.0,-4.0,-8.0,1.0,6.0,7.0,0.0,-1.0,-1.0,3.0,4.0,-5.0,-2.0
-1.0,3.0,-2.0,-4.0,-2.0,5.0,-1.0,1.0,-2.0,-8.0,2.0,7.0,7.0,-3.0,-2.0,-2.0,6.0,5.0,-7.0,-2.0
0.0,1.0,-2.0,-6.0,-3.0,7.0,-3.0,1.0,-2.0,-8.0,1.0,8.0,8.0,-1.0,-3.0,0.0,5.0,6.0,-8.0,-1.0
1.0,3.0,-2.0,-7.0,-6.0,10.0,-2.0,-1.0,-5.0,-9.0,-1.0,9.0,11.0,0.0,-4.0,0.0,4.0,5.0,-6.0,0.0
3.0,-1.0,-3.0,-3.0,-11.0,10.0,-2.0,-3.0,-5.0,-11.0,1.0,12.0,16.0,0.0,-4.0,-3.0,5.0,5.0,-6.0,0.0
5.0,0.0,-5.0,-2.0,-12.0,10.0,-3.0,0.0,-8.0,-13.0,3.0,12.0,18.0,-2.0,-6.0,-5.0,7.0,3.0,-4.0,2.0
9.0,4.0,-4.0,-2.0,-13.0,13.0,-4.0,1.0,-12.0,-13.0,2.0,12.0,18.0,-1.0,-7.0,-8.0,8.0,-1.0,-5.0,3.0
11.0,4.0,-3.0,-7.0,-11.0,13.0,-6.0,3.0,-14.0,-14.0,0.0,13.0,23.0,-1.0,-8.0,-8.0,9.0,1.0,-6.0,1.0
11.0,7.0,-2.0,-11.0,-14.0,17.0,-6.0,2.0,-17.0,-17.0,0.0,16.0,24.0,0.0,-8.0,-8.0,8.0,4.0,-6.0,0.0
11.0,6.0,-4.0,-13.0,-15.0,19.0,-8.0,4.0,-18.0,-16.0,1.0,16.0,29.0,1.0,-7.0,-13.0,9.0,3.0,-4.0,-1.0
11.0,5.0,-5.0,-13.0,-14.0,19.0,-9.0,4.0,-20.0,-16.0,1.0,18.0,31.0,-1.0,-6.0,-13.0,10.0,3.0,-4.0,-1.0
12.0,4.0,-5.0,-14.0,-15.0,17.0,-9.0,5.0,-19.0,-14.0,1.0,21.0,35.0,-1.0,-5.0,-14.0,12.0,0.0,-8.0,-3.0
14.0,2.0,-4.0,-16.0,-14.0,19.0,-7.0,4.0,-21.0,-15.0,3.0,22.0,37.0,-1.0,-8.0,-14.0,10.0,-2.0,-5.0,-4.0
14.0,3.0,-2.0,-18.0,-16.0,18.0,-9.0,4.0,-21.0,-16.0,3.0,24.0,38.0,-1.0,-8.0,-16.0,12.0,-3.0,-3.0,-3.0
15.0,-1.0,-3.0,-17.0,-15.0,20.0,-10.0,4.0,-24.0,-17.0,1.0,28.0,36.0,2.0,-9.0,-17.0,14.0,-3.0,-2.0,-2.0
14.0,-3.0,-4.0,-18.0,-16.0,21.0,-9.0,2.0,-26.0,-18.0,0.0,30.0,38.0,0.0,-8.0,-16.0,15.0,-2.0,0.0,0.0
16.0,-1.0,-6.0,-20.0,-20.0,20.0,-8.0,-2.0,-26.0,-20.0,1.0,32.0,37.0,4.0,-8.0,-14.0,19.0,0.0,-2.0,-2.0
16.0,-6.0,-6.0,-24.0,-20.0,21.0,-8.0,2.0,-26.0,-22.0,2.0,36.0,36.0,6.0,-12.0,-15.0,24.0,-1.0,-1.0,-2.0
12.0,-9.0,-5.0,-22.0,-19.0,22.0,-9.0,1.0,-25.0,-23.0,1.0,40.0,38.0,9.0,-12.0,-17.0,22.0,-1.0,-3.0,0.0
