ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
3.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,6.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,4.0,2.0
3.0,1.0,3.0,4.0,2.0,1.0,2.0,4.0,3.0,6.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,7.0,2.0
5.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,5.0,7.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,7.0,2.0
6.0,3.0,5.0,5.0,6.0,1.0,2.0,4.0,8.0,7.0,7.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,8.0,2.0
6.0,7.0,5.0,5.0,6.0,1.0,2.0,6.0,8.0,10.0,7.0,2.0,1.0,4.0,2.0,5.0,4.0,2.0,8.0,3.0
6.0,7.0,7.0,6.0,6.0,1.0,4.0,6.0,11.0,10.0,7.0,3.0,1.0,7.0,2.0,7.0,4.0,4.0,8.0,3.0
7.0,7.0,7.0,6.0,7.0,1.0,4.0,7.0,11.0,11.0,7.0,3.0,1.0,7.0,5.0,7.0,4.0,4.0,9.0,3.0
7.0,7.0,7.0,11.0,7.0,1.0,6.0,7.0,15.0,11.0,10.0,3.0,1.0,9.0,5.0,7.0,4.0,4.0,9.0,3.0
9.0,7.0,7.0,11.0,11.0,1.0,6.0,9.0,15.0,14.0,10.0,3.0,1.0,9.0,5.0,7.0,4.0,4.0,10.0,4.0
9.0,7.0,10.0,15.0,11.0,1.0,9.0,9.0,16.0,14.0,10.0,4.0,1.0,10.0,5.0,13.0,6.0,5.0,10.0,4.0
9.0,9.0,12.0,15.0,11.0,1.0,9.0,9.0,18.0,14.0,10.0,4.0,1.0,13.0,5.0,13.0,6.0,6.0,11.0,5.0
10.0,9.0,12.0,15.0,12.0,4.0,9.0,9.0,18.0,14.0,11.0,4.0,1.0,13.0,6.0,16.0,6.0,6.0,11.0,5.0
10.0,12.0,13.0,17.0,12.0,4.0,9.0,10.0,20.0,14.0,11.0,4.0,1.0,15.0,6.0,16.0,10.0,8.0,11.0,7.0
12.0,12.0,13.0,17.0,15.0,6.0,12.0,10.0,20.0,16.0,12.0,5.0,2.0,15.0,7.0,19.0,10.0,8.0,11.0,7.0
12.0,12.0,14.0,17.0,15.0,6.0,15.0,10.0,24.0,17.0,12.0,5.0,4.0,15.0,7.0,20.0,10.0,10.0,11.0,8.0
15.0,14.0,14.0,18.0,18.0,7.0,15.0,13.0,24.0,17.0,13.0,5.0,4.0,18.0,7.0,20.0,10.0,10.0,11.0,8.0
15.0,14.0,16.0,21.0,18.0,7.0,17.0,13.0,24.0,17.0,13.0,5.0,4.0,19.0,7.0,21.0,12.0,10.0,11.0,8.0
16.0,19.0,16.0,21.0,18.0,8.0,17.0,14.0,24.0,20.0,13.0,5.0,6.0,19.0,11.0,21.0,12.0,10.0,12.0,9.0
21.0,23.0,16.0,21.0,18.0,8.0,17.0,15.0,24.0,21.0,13.0,5.0,7.0,19.0,12.0,21.0,12.0,10.0,14.0,10.0
21.0,23.0,18.0,22.0,18.0,8.0,17.0,15.0,28.0,21.0,13.0,7.0,7.0,19.0,12.0,21.0,12.0,13.0,14.0,10.0
22.0,25.0,18.0,22.0,18.0,8.0,17.0,15.0,30.0,21.0,13.0,7.0,7.0,19.0,14.0,22.0,12.0,14.0,14.0,13.0
22.0,25.0,20.0,22.0,21.0,10.0,21.0,17.0,30.0,21.0,17.0,7.0,7.0,19.0,14.0,22.0,13.0,14.0,16.0,13.0
22.0,25.0,24.0,24.0,23.0,14.0,22.0,17.0,30.0,21.0,18.0,7.0,9.0,19.0,14.0,22.0,13.0,16.0,19.0,13.0
25.0,27.0,24.0,24.0,23.0,14.0,22.0,17.0,32.0,26.0,18.0,8.0,9.0,19.0,15.0,23.0,13.0,16.0,19.0,14.0
26.0,30.0,24.0,25.0,24.0,20.0,22.0,17.0,32.0,26.0,21.0,8.0,9.0,19.0,16.0,23.0,13.0,16.0,20.0,14.0
26.0,30.0,26.0,25.0,24.0,20.0,23.0,18.0,35.0,28.0,21.0,8.0,9.0,19.0,16.0,25.0,15.0,17.0,20.0,15.0
26.0,35.0,26.0,27.0,24.0,21.0,23.0,18.0,37.0,28.0,21.0,8.0,9.0,20.0,16.0,25.0,17.0,22.0,21.0,16.0
27.0,35.0,27.0,27.0,26.0,21.0,24.0,18.0,37.0,29.0,23.0,8.0,9.0,20.0,18.0,28.0,17.0,22.0,21.0,16.0
27.0,35.0,27.0,31.0,26.0,23.0,24.0,21.0,40.0,29.0,23.0,8.0,9.0,22.0,18.0,28.0,19.0,25.0,23.0,17.0
27.0,35.0,30.0,31.0,26.0,24.0,24.0,21.0,40.0,33.0,24.0,9.0,9.0,22.0,20.0,28.0,21.0,27.0,23.0,19.0
28.0,37.0,30.0,31.0,28.0,24.0,26.0,21.0,40.0,35.0,24.0,9.0,9.0,24.0,22.0,28.0,21.0,27.0,23.0,19.0
28.0,37.0,30.0,32.0,30.0,24.0,26.0,21.0,44.0,35.0,25.0,10.0,10.0,24.0,22.0,28.0,21.0,27.0,25.0,22.0
28.0,37.0,30.0,32.0,30.0,26.0,26.0,23.0,44.0,39.0,25.0,10.0,10.0,28.0,22.0,31.0,22.0,28.0,27.0,22.0
31.0,37.0,31.0,34.0,30.0,26.0,28.0,23.0,44.0,39.0,27.0,10.0,10.0,28.0,22.0,32.0,22.0,28.0,27.0,22.0
34.0,40.0,31.0,34.0,31.0,27.0,28.0,23.0,44.0,44.0,27.0,10.0,10.0,28.0,23.0,32.0,22.0,28.0,27.0,23.0
34.0,40.0,32.0,36.0,31.0,27.0,30.0,23.0,45.0,44.0,28.0,12.0,10.0,29.0,23.0,35.0,23.0,31.0,27.0,23.0
35.0,45.0,32.0,36.0,31.0,27.0,30.0,25.0,45.0,45.0,28.0,12.0,11.0,29.0,23.0,35.0,23.0,31.0,28.0,25.0
