ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0
2.0,4.0,3.0,1.0,0.0,6.0,2.0,4.0,1.0,1.0,3.0,6.0,8.0,4.0,1.0,1.0,5.0,5.0,1.0,2.0
5.0,6.0,3.0,3.0,0.0,8.0,3.0,6.0,5.0,1.0,5.0,7.0,9.0,4.0,2.0,2.0,8.0,7.0,2.0,3.0
8.0,6.0,5.0,3.0,2.0,10.0,3.0,7.0,7.0,2.0,6.0,9.0,11.0,6.0,3.0,4.0,9.0,9.0,2.0,4.0
10.0,10.0,7.0,3.0,3.0,14.0,4.0,8.0,7.0,2.0,8.0,11.0,14.0,8.0,4.0,6.0,10.0,10.0,5.0,5.0
12.0,10.0,8.0,7.0,3.0,14.0,4.0,8.0,8.0,3.0,11.0,14.0,19.0,9.0,4.0,6.0,12.0,11.0,5.0,6.0
14.0,12.0,8.0,9.0,4.0,15.0,5.0,11.0,8.0,3.0,13.0,15.0,21.0,10.0,4.0,6.0,14.0,11.0,8.0,8.0
19.0,16.0,9.0,10.0,4.0,18.0,5.0,13.0,9.0,4.0,14.0,15.0,21.0,13.0,6.0,6.0,15.0,11.0,8.0,9.0
22.0,16.0,10.0,10.0,8.0,20.0,5.0,15.0,11.0,4.0,15.0,16.0,26.0,15.0,6.0,6.0,16.0,13.0,8.0,9.0
24.0,19.0,11.0,10.0,9.0,24.0,7.0,16.0,11.0,4.0,16.0,20.0,27.0,17.0,6.0,6.0,16.0,16.0,9.0,9.0
25.0,20.0,12.0,12.0,9.0,27.0,8.0,19.0,11.0,5.0,17.0,21.0,33.0,19.0,7.0,7.0,19.0,16.0,13.0,11.0
26.0,21.0,13.0,12.0,11.0,27.0,8.0,19.0,11.0,6.0,17.0,23.0,36.0,20.0,9.0,8.0,20.0,17.0,14.0,12.0
28.0,22.0,14.0,13.0,11.0,28.0,8.0,20.0,14.0,8.0,18.0,26.0,40.0,20.0,11.0,10.0,23.0,17.0,14.0,12.0
32.0,23.0,16.0,13.0,13.0,30.0,10.0,20.0,14.0,9.0,20.0,27.0,43.0,22.0,11.0,12.0,25.0,17.0,17.0,13.0
34.0,25.0,19.0,14.0,14.0,31.0,11.0,21.0,15.0,10.0,21.0,30.0,45.0,24.0,12.0,13.0,28.0,18.0,20.0,15.0
35.0,25.0,19.0,15.0,15.0,33.0,13.0,23.0,16.0,10.0,21.0,34.0,45.0,28.0,13.0,13.0,30.0,20.0,23.0,17.0
37.0,25.0,20.0,15.0,17.0,35.0,14.0,24.0,16.0,10.0,21.0,37.0,48.0,29.0,14.0,16.0,31.0,23.0,25.0,19.0
40.0,27.0,20.0,16.0,18.0,35.0,17.0,26.0,16.0,11.0,22.0,39.0,50.0,34.0,14.0,19.0,37.0,25.0,25.0,19.0
41.0,27.0,21.0,17.0,18.0,37.0,17.0,31.0,17.0,12.0,24.0,43.0,51.0,37.0,14.0,20.0,42.0,26.0,27.0,20.0
42.0,28.0,22.0,19.0,19.0,38.0,17.0,31.0,18.0,12.0,24.0,48.0,54.0,41.0,15.0,21.0,43.0,27.0,27.0,23.0
46.0,31.0,24.0,21.0,19.0,38.0,19.0,31.0,19.0,13.0,25.0,49.0,56.0,43.0,15.0,21.0,46.0,30.0,29.0,23.0
46.0,31.0,24.0,23.0,19.0,40.0,20.0,33.0,20.0,13.0,26.0,50.0,59.0,44.0,16.0,23.0,46.0,32.0,30.0,23.0
48.0,33.0,25.0,23.0,19.0,40.0,23.0,34.0,21.0,13.0,29.0,54.0,62.0,46.0,19.0,25.0,48.0,32.0,30.0,27.0
50.0,37.0,27.0,25.0,20.0,40.0,24.0,35.0,25.0,13.0,30.0,55.0,63.0,48.0,21.0,26.0,50.0,33.0,30.0,30.0
51.0,37.0,27.0,26.0,22.0,45.0,26.0,36.0,25.0,13.0,30.0,56.0,66.0,49.0,21.0,27.0,51.0,33.0,31.0,33.0
53.0,37.0,28.0,29.0,24.0,45.0,27.0,36.0,25.0,14.0,31.0,59.0,68.0,52.0,22.0,28.0,54.0,34.0,32.0,34.0
55.0,38.0,29.0,31.0,25.0,47.0,31.0,36.0,26.0,14.0,32.0,59.0,74.0,52.0,24.0,28.0,55.0,39.0,35.0,35.0
60.0,39.0,30.0,31.0,25.0,49.0,32.0,39.0,26.0,15.0,34.0,64.0,75.0,55.0,26.0,30.0,55.0,39.0,35.0,35.0
61.0,39.0,32.0,32.0,25.0,50.0,35.0,39.0,27.0,15.0,35.0,64.0,76.0,58.0,26.0,32.0,56.0,41.0,37.0,37.0
63.0,41.0,32.0,34.0,27.0,50.0,36.0,41.0,28.0,15.0,38.0,68.0,79.0,58.0,29.0,34.0,57.0,42.0,37.0,38.0
65.0,43.0,32.0,35.0,28.0,52.0,38.0,43.0,29.0,18.0,40.0,70.0,81.0,60.0,31.0,35.0,58.0,43.0,41.0,38.0
65.0,43.0,32.0,37.0,28.0,55.0,38.0,45.0,29.0,18.0,42.0,72.0,83.0,61.0,31.0,36.0,60.0,47.0,41.0,40.0
66.0,44.0,32.0,40.0,28.0,57.0,39.0,46.0,30.0,19.0,46.0,75.0,86.0,63.0,31.0,39.0,64.0,47.0,41.0,41.0
68.0,49.0,32.0,42.0,30.0,57.0,40.0,46.0,32.0,19.0,46.0,77.0,87.0,63.0,32.0,40.0,64.0,49.0,42.0,41.0
69.0,49.0,32.0,44.0,30.0,59.0,43.0,50.0,33.0,20.0,48.0,79.0,89.0,63.0,35.0,41.0,65.0,50.0,44.0,44.0
69.0,52.0,33.0,44.0,30.0,60.0,43.0,50.0,34.0,20.0,51.0,84.0,90.0,64.0,36.0,44.0,65.0,51.0,45.0,46.0
70.0,53.0,34.0,44.0,32.0,63.0,46.0,52.0,34.0,21.0,51.0,87.0,91.0,65.0,38.0,44.0,65.0,51.0,48.0,47.0
73.0,56.0,35.0,45.0,34.0,63.0,51.0,54.0,34.0,22.0,51.0,89.0,95.0,65.0,42.0,45.0,67.0,52.0,52.0,47.0
