ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0
2.0,2.0,0.0,2.0,0.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,5.0,3.0,1.0,0.0
5.0,2.0,0.0,2.0,0.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,6.0,3.0,1.0,1.0
7.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,2.0,5.0,6.0,3.0,6.0,1.0,3.0,6.0,3.0,4.0,1.0
7.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,3.0,3.0,5.0,6.0,8.0,6.0,1.0,3.0,8.0,4.0,4.0,2.0
7.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,3.0,3.0,7.0,7.0,8.0,7.0,1.0,3.0,10.0,4.0,4.0,2.0
12.0,6.0,2.0,4.0,1.0,8.0,5.0,6.0,3.0,4.0,7.0,7.0,8.0,7.0,3.0,3.0,10.0,4.0,4.0,3.0
12.0,6.0,3.0,4.0,1.0,8.0,5.0,6.0,5.0,4.0,8.0,8.0,8.0,9.0,3.0,3.0,11.0,6.0,4.0,3.0
14.0,9.0,3.0,4.0,2.0,12.0,5.0,7.0,5.0,4.0,8.0,8.0,9.0,9.0,3.0,3.0,11.0,6.0,5.0,3.0
14.0,9.0,4.0,6.0,2.0,12.0,6.0,7.0,5.0,4.0,9.0,9.0,9.0,11.0,3.0,4.0,14.0,6.0,5.0,3.0
14.0,10.0,5.0,6.0,2.0,12.0,6.0,7.0,5.0,4.0,9.0,9.0,9.0,12.0,3.0,4.0,15.0,7.0,6.0,4.0
16.0,10.0,5.0,6.0,2.0,13.0,6.0,7.0,5.0,6.0,10.0,12.0,13.0,12.0,5.0,6.0,15.0,7.0,6.0,4.0
16.0,11.0,7.0,6.0,2.0,13.0,6.0,7.0,5.0,6.0,10.0,12.0,13.0,14.0,5.0,6.0,17.0,7.0,9.0,5.0
18.0,11.0,7.0,6.0,3.0,14.0,7.0,7.0,5.0,7.0,11.0,15.0,15.0,14.0,6.0,7.0,17.0,7.0,9.0,5.0
18.0,11.0,7.0,6.0,3.0,14.0,9.0,7.0,6.0,7.0,11.0,19.0,15.0,14.0,6.0,7.0,19.0,9.0,9.0,7.0
20.0,11.0,7.0,6.0,5.0,16.0,9.0,8.0,6.0,7.0,11.0,19.0,15.0,15.0,7.0,7.0,19.0,9.0,11.0,7.0
20.0,11.0,7.0,7.0,5.0,16.0,12.0,8.0,6.0,7.0,12.0,21.0,15.0,20.0,7.0,10.0,25.0,11.0,11.0,7.0
21.0,11.0,7.0,7.0,5.0,18.0,12.0,13.0,6.0,8.0,12.0,21.0,16.0,20.0,7.0,10.0,25.0,11.0,13.0,8.0
22.0,12.0,7.0,7.0,6.0,19.0,12.0,13.0,6.0,8.0,12.0,21.0,19.0,20.0,8.0,10.0,25.0,11.0,13.0,11.0
22.0,12.0,9.0,9.0,6.0,19.0,14.0,13.0,7.0,8.0,13.0,22.0,19.0,22.0,8.0,10.0,28.0,14.0,13.0,11.0
22.0,12.0,9.0,9.0,6.0,19.0,14.0,13.0,8.0,8.0,13.0,23.0,19.0,23.0,9.0,12.0,28.0,16.0,13.0,11.0
22.0,12.0,10.0,9.0,6.0,19.0,17.0,14.0,8.0,8.0,16.0,23.0,22.0,23.0,9.0,12.0,30.0,16.0,13.0,11.0
22.0,12.0,12.0,11.0,7.0,19.0,18.0,15.0,8.0,8.0,17.0,23.0,23.0,23.0,9.0,12.0,30.0,17.0,13.0,11.0
23.0,12.0,12.0,11.0,7.0,19.0,18.0,15.0,8.0,8.0,17.0,24.0,23.0,24.0,9.0,13.0,30.0,17.0,13.0,14.0
25.0,12.0,12.0,14.0,9.0,19.0,18.0,15.0,8.0,8.0,18.0,24.0,25.0,27.0,10.0,13.0,30.0,17.0,14.0,14.0
25.0,12.0,13.0,14.0,9.0,19.0,22.0,15.0,9.0,8.0,18.0,24.0,25.0,27.0,10.0,13.0,31.0,22.0,14.0,15.0
25.0,13.0,13.0,14.0,9.0,21.0,22.0,18.0,9.0,8.0,18.0,24.0,25.0,30.0,10.0,13.0,31.0,22.0,14.0,15.0
26.0,13.0,15.0,14.0,9.0,21.0,25.0,18.0,9.0,8.0,19.0,24.0,26.0,30.0,10.0,15.0,31.0,22.0,14.0,15.0
26.0,15.0,15.0,16.0,9.0,21.0,25.0,20.0,10.0,8.0,19.0,24.0,26.0,30.0,10.0,15.0,32.0,23.0,14.0,16.0
26.0,15.0,15.0,16.0,9.0,23.0,25.0,20.0,10.0,11.0,21.0,26.0,28.0,30.0,12.0,16.0,33.0,24.0,14.0,16.0
26.0,15.0,15.0,16.0,9.0,23.0,25.0,22.0,10.0,11.0,21.0,26.0,28.0,31.0,12.0,16.0,33.0,24.0,14.0,16.0
27.0,15.0,15.0,19.0,9.0,23.0,26.0,22.0,11.0,11.0,25.0,29.0,31.0,31.0,12.0,16.0,33.0,24.0,14.0,17.0
27.0,20.0,15.0,19.0,11.0,23.0,26.0,22.0,11.0,11.0,25.0,29.0,31.0,31.0,13.0,17.0,33.0,26.0,15.0,17.0
28.0,20.0,15.0,21.0,11.0,23.0,29.0,22.0,12.0,11.0,27.0,31.0,33.0,31.0,13.0,18.0,33.0,26.0,15.0,17.0
28.0,23.0,15.0,21.0,11.0,24.0,29.0,22.0,12.0,11.0,27.0,31.0,34.0,31.0,14.0,18.0,33.0,26.0,16.0,19.0
28.0,23.0,16.0,21.0,11.0,24.0,32.0,22.0,12.0,11.0,27.0,34.0,34.0,32.0,14.0,18.0,33.0,26.0,16.0,19.0
31.0,26.0,16.0,21.0,13.0,24.0,32.0,24.0,12.0,12.0,27.0,34.0,38.0,32.0,18.0,18.0,33.0,26.0,20.0,19.0
