ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,3.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0
0.0,3.0,0.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0
3.0,3.0,0.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,3.0,6.0,4.0,3.0,1.0,3.0,6.0,3.0,0.0,3.0
6.0,3.0,1.0,1.0,1.0,6.0,6.0,2.0,1.0,1.0,3.0,9.0,4.0,6.0,1.0,3.0,6.0,3.0,3.0,3.0
6.0,3.0,1.0,1.0,1.0,7.0,6.0,2.0,1.0,1.0,3.0,9.0,7.0,6.0,2.0,3.0,9.0,4.0,3.0,4.0
6.0,3.0,1.0,4.0,1.0,7.0,6.0,2.0,1.0,1.0,6.0,10.0,7.0,6.0,2.0,3.0,12.0,4.0,3.0,4.0
9.0,6.0,1.0,4.0,1.0,10.0,6.0,5.0,1.0,2.0,6.0,10.0,8.0,6.0,2.0,3.0,12.0,4.0,3.0,7.0
9.0,6.0,4.0,4.0,1.0,10.0,6.0,5.0,1.0,2.0,6.0,13.0,8.0,7.0,2.0,4.0,15.0,7.0,3.0,7.0
10.0,9.0,4.0,4.0,1.0,13.0,6.0,5.0,1.0,2.0,6.0,13.0,11.0,7.0,3.0,4.0,15.0,7.0,4.0,7.0
10.0,9.0,4.0,4.0,1.0,13.0,6.0,5.0,1.0,2.0,9.0,14.0,11.0,10.0,3.0,4.0,18.0,7.0,4.0,7.0
10.0,9.0,4.0,5.0,1.0,13.0,6.0,6.0,1.0,2.0,9.0,14.0,11.0,10.0,3.0,4.0,21.0,8.0,5.0,8.0
13.0,9.0,4.0,5.0,1.0,13.0,7.0,6.0,1.0,5.0,10.0,17.0,14.0,10.0,6.0,4.0,21.0,8.0,5.0,8.0
13.0,9.0,7.0,5.0,1.0,13.0,7.0,6.0,1.0,5.0,10.0,17.0,14.0,11.0,6.0,4.0,21.0,8.0,8.0,8.0
14.0,9.0,7.0,5.0,1.0,13.0,7.0,6.0,1.0,5.0,11.0,20.0,17.0,11.0,7.0,4.0,21.0,8.0,8.0,8.0
14.0,9.0,7.0,5.0,1.0,13.0,7.0,6.0,1.0,5.0,11.0,23.0,17.0,11.0,7.0,4.0,24.0,9.0,8.0,11.0
14.0,9.0,7.0,5.0,1.0,16.0,7.0,6.0,1.0,5.0,11.0,23.0,17.0,11.0,10.0,4.0,24.0,9.0,11.0,11.0
14.0,9.0,7.0,5.0,1.0,16.0,10.0,6.0,2.0,5.0,14.0,26.0,17.0,14.0,10.0,7.0,27.0,12.0,11.0,11.0
15.0,9.0,7.0,5.0,2.0,19.0,10.0,9.0,2.0,5.0,14.0,26.0,17.0,14.0,10.0,7.0,27.0,12.0,14.0,12.0
15.0,9.0,7.0,5.0,5.0,22.0,10.0,9.0,2.0,5.0,14.0,26.0,20.0,14.0,11.0,7.0,27.0,12.0,14.0,15.0
15.0,9.0,8.0,8.0,5.0,22.0,13.0,9.0,2.0,5.0,17.0,26.0,20.0,17.0,11.0,8.0,30.0,13.0,14.0,15.0
15.0,9.0,8.0,8.0,5.0,22.0,13.0,9.0,2.0,6.0,17.0,29.0,20.0,20.0,11.0,11.0,30.0,16.0,14.0,15.0
15.0,9.0,8.0,9.0,5.0,22.0,13.0,9.0,2.0,6.0,17.0,29.0,23.0,20.0,11.0,11.0,33.0,16.0,14.0,15.0
15.0,9.0,8.0,10.0,5.0,22.0,14.0,12.0,2.0,6.0,18.0,29.0,23.0,20.0,11.0,11.0,33.0,16.0,14.0,15.0
15.0,9.0,8.0,10.0,5.0,22.0,14.0,12.0,2.0,6.0,18.0,30.0,23.0,23.0,11.0,12.0,33.0,17.0,14.0,18.0
18.0,9.0,8.0,13.0,8.0,22.0,14.0,12.0,2.0,6.0,18.0,30.0,26.0,26.0,12.0,12.0,33.0,17.0,15.0,18.0
18.0,9.0,8.0,13.0,8.0,22.0,17.0,12.0,2.0,6.0,18.0,31.0,26.0,26.0,12.0,12.0,33.0,20.0,15.0,19.0
18.0,9.0,8.0,13.0,8.0,25.0,17.0,15.0,2.0,6.0,18.0,31.0,26.0,29.0,12.0,12.0,33.0,20.0,15.0,19.0
19.0,9.0,11.0,13.0,8.0,25.0,20.0,15.0,2.0,6.0,18.0,32.0,29.0,29.0,12.0,12.0,33.0,20.0,15.0,19.0
19.0,12.0,11.0,13.0,8.0,25.0,20.0,15.0,2.0,6.0,18.0,32.0,29.0,29.0,12.0,12.0,33.0,20.0,15.0,20.0
19.0,12.0,11.0,13.0,8.0,28.0,20.0,15.0,2.0,6.0,21.0,35.0,32.0,29.0,13.0,15.0,33.0,20.0,15.0,20.0
19.0,12.0,11.0,13.0,8.0,28.0,20.0,18.0,2.0,6.0,21.0,35.0,32.0,29.0,13.0,15.0,33.0,20.0,15.0,20.0
22.0,12.0,11.0,16.0,8.0,28.0,23.0,18.0,2.0,6.0,24.0,38.0,35.0,29.0,13.0,15.0,33.0,20.0,15.0,20.0
22.0,15.0,12.0,16.0,11.0,28.0,23.0,18.0,2.0,6.0,24.0,38.0,35.0,29.0,16.0,15.0,33.0,23.0,15.0,20.0
22.0,15.0,12.0,17.0,11.0,28.0,26.0,18.0,5.0,6.0,25.0,41.0,38.0,29.0,16.0,16.0,33.0,23.0,15.0,20.0
22.0,16.0,12.0,17.0,11.0,29.0,26.0,19.0,5.0,6.0,25.0,41.0,41.0,29.0,17.0,16.0,33.0,23.0,18.0,23.0
22.0,16.0,13.0,17.0,11.0,29.0,29.0,19.0,5.0,6.0,25.0,44.0,41.0,30.0,17.0,16.0,33.0,23.0,18.0,23.0
25.0,16.0,13.0,17.0,14.0,30.0,29.0,20.0,5.0,7.0,25.0,44.0,44.0,30.0,20.0,16.0,33.0,23.0,21.0,23.0
