ARS,BOU,BHA,BUR,CAR,CHE,CRY,EVE,FUL,HUD,LEI,LIV,MCI,MUN,NEW,SOU,TOT,WAT,WHU,WOL
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0
0.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0
3.0,4.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,6.0,3.0,3.0,0.0,1.0,3.0,6.0,0.0,2.0
3.0,4.0,4.0,0.0,1.0,6.0,0.0,4.0,3.0,1.0,3.0,6.0,6.0,3.0,0.0,1.0,3.0,9.0,0.0,2.0
3.0,7.0,4.0,0.0,1.0,9.0,0.0,4.0,3.0,1.0,3.0,6.0,9.0,3.0,0.0,2.0,3.0,9.0,0.0,5.0
6.0,7.0,4.0,3.0,1.0,9.0,1.0,4.0,4.0,1.0,6.0,9.0,9.0,4.0,0.0,2.0,3.0,9.0,1.0,5.0
9.0,10.0,4.0,3.0,1.0,10.0,1.0,7.0,4.0,1.0,6.0,9.0,12.0,4.0,0.0,2.0,3.0,9.0,4.0,8.0
9.0,10.0,7.0,4.0,1.0,10.0,1.0,7.0,4.0,1.0,6.0,10.0,12.0,7.0,0.0,2.0,6.0,9.0,4.0,8.0
12.0,11.0,7.0,4.0,4.0,11.0,1.0,10.0,4.0,1.0,6.0,10.0,15.0,7.0,0.0,2.0,6.0,9.0,4.0,8.0
12.0,11.0,10.0,4.0,4.0,11.0,2.0,10.0,4.0,1.0,7.0,13.0,15.0,10.0,0.0,3.0,6.0,12.0,4.0,8.0
13.0,11.0,10.0,4.0,4.0,14.0,2.0,13.0,4.0,4.0,7.0,13.0,18.0,10.0,3.0,3.0,6.0,12.0,7.0,8.0
14.0,11.0,10.0,4.0,7.0,15.0,2.0,13.0,4.0,5.0,8.0,16.0,21.0,10.0,6.0,4.0,6.0,12.0,7.0,8.0
14.0,11.0,11.0,4.0,7.0,15.0,2.0,16.0,7.0,5.0,8.0,16.0,21.0,11.0,6.0,4.0,9.0,12.0,7.0,8.0
17.0,11.0,11.0,4.0,10.0,18.0,5.0,16.0,7.0,5.0,11.0,19.0,24.0,11.0,6.0,5.0,9.0,12.0,7.0,8.0
17.0,14.0,14.0,4.0,10.0,18.0,5.0,17.0,8.0,5.0,11.0,19.0,24.0,12.0,6.0,5.0,12.0,12.0,10.0,11.0
20.0,14.0,14.0,7.0,13.0,21.0,5.0,18.0,8.0,5.0,11.0,19.0,24.0,15.0,6.0,5.0,12.0,12.0,13.0,11.0
20.0,14.0,14.0,7.0,13.0,21.0,8.0,18.0,8.0,5.0,11.0,22.0,27.0,15.0,6.0,8.0,15.0,15.0,13.0,14.0
23.0,17.0,14.0,7.0,13.0,21.0,8.0,18.0,8.0,5.0,11.0,22.0,27.0,15.0,7.0,8.0,15.0,15.0,13.0,14.0
