id,name,short_name,strength,strength_defence_home,strength_attack_home,strength_overall_home,strength_defence_away,strength_attack_away,strength_overall_away
0,Arsenal,ARS,4,1310,1240,1260,1340,1270,1320
1,Bournemouth,BOU,3,1120,1040,1030,1130,1100,1130
2,Brighton,BHA,2,1010,1040,1030,1070,1140,1050
3,Burnley,BUR,3,1000,990,1070,1040,1030,1100
4,Cardiff,CAR,2,1020,1030,1030,1090,1060,1080
5,Chelsea,CHE,4,1320,1270,1260,1330,1340,1310
6,Crystal Palace,CRY,2,1030,1030,1060,1050,1180,1080
7,Everton,EVE,3,1140,1070,1090,1230,1120,1110
8,Fulham,FUL,2,1000,1000,1000,1080,1030,1040
9,Huddersfield,HUD,2,990,1030,1010,1010,1060,1020
10,Leicester,LEI,3,1080,1130,1110,1140,1180,1110
11,Liverpool,LIV,5,1330,1330,1330,1340,1360,1350
12,Man City,MCI,5,1340,1320,1320,1360,1330,1350
13,Man Utd,MUN,4,1310,1250,1310,1340,1260,1330
14,Newcastle,NEW,3,1030,1070,1070,1050,1110,1120
15,Southampton,SOU,2,1100,1040,1050,1100,1070,1060
16,Spurs,TOT,5,1320,1270,1330,1340,1340,1330
17,Watford,WAT,3,1130,1100,1100,1150,1100,1110
18,West Ham,WHU,3,1120,1090,1100,1150,1100,1150
19,Wolves,WOL,3,1080,1180,1130,1100,1200,1150
